m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,samplen,typexpr,express,subject
11881.3932101863,2091.2165129243645,-4587.805148864939,7623.032138598548,1270.1803675819576,-3278.5355884569876,4516.429179262568,728.5491334936083,-2313.6870173189004,10009.13257870691,1345.8424466474792,-4435.643552330812,4493.802240638136,613.9152486399597,-2034.6253099173368,-356.228113383939,7.4840663223118185,111.41009235872662,10083.62288852848,855.9842876973075,-5087.771406515307,1863.3115136926644,39.787618538374545,-996.2827364950983,-5477.062500018506,-704.095024210607,2628.014043980715,0,N,N,0
11988.050115583812,2131.195056082222,-4622.339678610078,7705.237446115878,1311.3451104075712,-3301.457095132111,4561.690251825889,781.6356659705642,-2312.9282507865096,10069.58427650069,1361.4274218760281,-4450.959496548894,4531.483761884454,623.4382202144124,-2047.8964424084938,-344.64324508573907,13.528472214625623,105.30156511040695,10099.571334538581,847.6830919334864,-5089.31675956713,1860.4225316556972,24.518669706730634,-1000.4270222586086,-5494.081811064676,-731.7722704632945,2619.7025324000574,1,N,N,0
12089.10571963156,1956.7714433179522,-4796.609496454865,7991.310965923474,1127.7990459943705,-3552.4384682308887,5355.149614034517,553.2178504971308,-2830.081003312501,10067.435369977282,1326.6404850714418,-4477.880218737484,4551.769968666367,588.215075629626,-2081.6720865076495,-201.882430549113,-27.362656241773273,8.242606259078968,10048.93874858396,926.0370276081105,-5008.180460867615,1659.2405278109416,105.2106167999319,-851.8107966792749,-5885.362914281833,-631.7632727696925,2864.4877390718066,0,N,N,1
8378.654711131174,2104.5084869483317,-2351.573409147012,5334.887207756514,1133.6916172203735,-2092.1693084178287,3214.9380895586482,463.95657168211164,-1934.275585185967,6601.101197286333,1186.7680692899203,-2610.5217106960718,2934.200840152257,532.674502537685,-1244.898947341282,-217.51895194950816,-22.51041272282221,-31.06344143486575,6141.199224618813,479.246242214134,-3288.4429474369263,900.1089198087717,12.996441713807272,-520.2443216582449,-3750.3115437852807,-480.3805792154135,1864.5655732248797,0,N,N,2
13279.580425614438,2437.4191581333826,-4839.536907935553,8594.234241968961,1421.200713696652,-3668.7126752133145,5433.129419183736,755.0736214403111,-2944.4751871327335,10989.116517577459,1472.0089291180586,-4803.012462068275,4872.529977234699,666.857212433919,-2197.5386720641627,-374.5829825987378,1.8403502483393623,72.29157866724853,11020.886972628414,800.2414771171168,-5694.899988168212,1773.041873296701,14.300750534073728,-976.7597421279734,-6416.787063969066,-729.3442475256901,3153.9421059349543,0,N,N,3
9875.03613697921,2048.309483334767,-3464.05717957578,5999.962863270666,1170.843083922381,-2461.9176613323457,3020.362981326175,556.6309243304381,-1641.6475012478054,8437.92892142163,1304.1437553897354,-3597.776564802252,3627.507249771209,582.2445530083298,-1590.415359832617,-596.0379981883689,-24.856883872386724,209.63345963137056,8659.773138293936,785.745678937528,-4385.791107518158,1652.1311380057443,61.44853881026363,-876.1589972654216,-4511.117822501701,-608.1489754597629,2168.9597310030335,0,N,N,4
12624.5175002709,2462.0202636959543,-4477.39987693279,7962.006711252837,1422.5380466435577,-3312.46377886804,4509.089272037861,677.3900870787976,-2459.7906060880564,10586.626731414013,1500.978693916408,-4596.455044702996,4714.557319501485,697.2889279242742,-2099.5291477132787,-437.97073787315264,17.672522087293146,126.59479299752036,10628.180933001966,820.7486415244234,-5508.549843688402,1964.921888013595,48.83310398735044,-1076.3720373404801,-5732.579691371466,-665.1807666391765,2819.4858289022077,0,N,N,5
12898.020931762716,2551.8222285381385,-4563.82800299317,8134.375100971017,1498.0521106025096,-3360.63644960181,4492.756468678959,768.194010227307,-2404.7462562498217,10777.449167197718,1545.9130459858764,-4656.400143171257,4845.791216017233,710.5683460600312,-2152.4417856395416,-396.2684649572212,13.552244572369005,103.06694002407295,10693.154493008276,832.8977043408503,-5540.00678054499,2033.7299568992134,14.73956483066695,-1123.9241245188698,-5655.4775221306245,-737.4868424469057,2750.1720366792993,1,N,N,5
14296.351634627707,2769.594956297822,-5387.768797232146,8884.074013338151,1702.5759580936833,-3666.4342209670585,4618.7275356689925,962.0289564900171,-2256.224931974013,12180.47917520523,1801.7225464453793,-5316.378727151392,5375.978759781598,814.5954537996696,-2384.024320182615,-656.0029004093147,-10.387164976420678,255.5816783475774,12355.546088256537,1177.3876916004706,-6177.7024693804815,2409.736531409426,43.72584833073074,-1303.4276100289826,-6353.374174604296,-966.6940790098829,2961.5362463496444,0,N,N,6
13612.347662223454,2591.6641435096744,-5003.266542619309,8665.807430671088,1530.351513326969,-3639.1558056564336,4999.0434881307065,788.8386803226239,-2624.241836881907,11378.253487987815,1633.6375231113798,-4925.616143921418,5110.785361423731,742.830922339049,-2282.0382117393992,-377.5136904119753,-0.8588364757472817,76.21876696159632,11287.442182016446,957.3377738605923,-5696.55136290611,2063.893768207658,47.37124627115662,-1113.9779649784355,-6116.337342825279,-781.7495777131317,2920.6286882204386,0,N,N,7
10985.432643380518,2079.8236387472916,-4013.975147236017,7007.404799501983,1202.882566723116,-2987.264077538665,4130.703928885512,620.3950218887185,-2240.4997559138505,9173.35686091858,1304.210199808048,-3987.899080118826,4107.958871907046,581.6610830013545,-1851.078776060366,-318.3086814922046,-15.504130591548723,55.17069092215337,9135.33030052307,776.8344560515401,-4658.157696249065,1655.9493973924107,42.25688071562704,-890.2686298492799,-5009.7902213933085,-642.0115050401423,2430.594846461835,0,N,N,8
8793.935590223873,2215.006382854999,-2536.827958414295,5186.895152937757,1238.9525438572057,-1900.1807804006062,2283.1624186703043,519.8633206392476,-1312.6116240441472,7341.861655472632,1265.6919175478638,-2989.808968713969,3097.126002642145,570.3564025041096,-1298.656908975487,-602.0951323073668,-18.54460662046676,209.81430701468167,7387.523204215045,575.0836099524331,-3936.6704272809784,1338.8821321595892,-9.090013301879594,-788.2680475576356,-3834.1483016419124,-554.2107214384966,1857.9948268634112,0,N,N,9
10751.302137225428,2510.0285803531888,-3630.697076357824,6424.72213650028,1463.4465045718057,-2480.13693588169,2911.1429595327304,694.1256056301079,-1469.282625139182,9122.288093731573,1638.017109927043,-3757.8641854623074,3899.1430971133605,722.331455290027,-1640.8771258425927,-741.2508467438602,-56.53372686824759,280.28637546006235,9147.404662293207,1032.2880405412889,-4524.736527385348,1778.8325358498184,68.35747861633067,-953.6691688396403,-4675.532570995919,-796.8876863851717,2143.0665111167004,0,N,N,10
12528.428042797796,2910.3956970015643,-4197.217425188712,7514.65746470782,1701.4147768502226,-2892.2999832134856,3493.8425612660953,817.9645770074608,-1773.3400645220615,10594.863108077636,1861.3303552741672,-4387.030698392502,4515.372684234782,824.0186492977036,-1904.2574346093884,-852.2050108071194,-53.30315218538547,329.39979847876134,10653.81042074481,1139.116365399205,-5328.47779088428,2007.0412665189176,53.02431101572128,-1094.626466296852,-5538.4611654597575,-916.4191900846004,2562.2924626806143,1,N,N,10
