m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50,m51,m52,m53,m54,m55,m56,m57,m58,m59,m60,m61,m62,m63,m64,m65,m66,m67,m68,m69,m70,m71,m72,m73,m74,m75,m76,m77,m78,m79,m80,m81,m82,m83,m84,m85,m86,m87,m88,m89,m90,m91,m92,m93,m94,m95,m96,m97,m98,m99,m100,m101,m102,m103,m104,m105,m106,m107,m108,m109,m110,m111,m112,m113,m114,m115,m116,m117,m118,m119,m120,m121,m122,m123,m124,samplen,typexpr,express,subject
25384.591219779006,4199.765793662201,-22116.10611424725,-7679.055236419466,22699.99262737287,16031.3390936464,2683.6447158471974,-14483.573108310833,-6588.253549324491,12041.397933277169,3396.3989020870504,860.8181709922852,-4028.8004045785265,-5639.560519520067,-2534.701966755356,11478.834251315368,2738.1457762667646,-10695.281751373825,-9245.609314518286,4417.227285662017,43317.53767577711,8285.716159860565,-38567.118238095085,-20396.104245878058,31810.76759310378,21782.947791220777,2758.0072775809817,-20291.06055091948,-6739.254355242208,18249.92918538613,9641.765646540865,1248.5945108289657,-9051.182230166316,-3292.24675162828,7823.501724169237,-8610.223509967218,-900.1098791309739,7964.0735403654735,1701.6140094110579,-7977.159929543648,-6941.613046265766,-402.7136453275558,6691.667350274844,727.7754501936413,-6923.530431300612,10272.297975168909,1926.4605924180257,-9134.802171192592,-4707.1156234876125,7335.535769625221,21474.066561280015,1081.2796326306773,-22391.66027061773,-6301.411409938329,17043.384731347018,325.8271905435505,-877.089308217319,-1131.3858673364455,1663.6212988902494,1850.117445560225,-31967.28883480961,-3979.5981214438916,31118.387420099443,13638.796300619304,-21982.669372562446,-34781.99170193669,-4846.961736313855,33120.89684064076,14815.843826419557,-25208.695552122466,-27858.49524007756,-5890.117662367026,24382.753689047437,14307.419987751346,-20029.472359057978,44759.3047379564,3384.296825575299,-44634.57047698094,-11705.60066741681,40046.15378194454,3189.8383888224353,-526.7962047018331,-3765.0311386147064,936.6979403140388,4502.463598894918,-53642.592815240176,-5767.74537159613,52140.616367165305,17875.072654020885,-44385.66895816536,-37956.18190775551,-4245.755701002295,36662.88019328354,12811.425241547415,-31242.31648889382,10615.760318301855,-394.4611702798542,-11616.189191080828,-284.3725013602941,11672.302474835476,109648.7757955835,10718.017681985439,-105772.25161965752,-28872.38647897589,100441.22576582899,19127.34609768417,1918.0557392880874,-18318.051811438276,-5050.571935829594,17068.77933395472,-96744.88458764626,-8849.140021426454,93861.67823578959,24038.037261814705,-90570.96823720024,-38516.07024829579,-1935.1097662802283,38238.57049122123,5150.773283578616,-39650.71338630703,104494.10015482936,13159.361509778142,-99183.13976583663,-35934.38386937179,88240.2253247081,3,N,N,72
18626.07634726986,3574.020385219114,-15518.566794884395,-6130.145301416808,15490.768952064318,10904.5452590056,2163.645880561809,-9454.150588510789,-5072.856068996209,7088.663717840213,-29.201457791342435,305.26591606840975,-677.0896826288237,-3604.0581159300427,-4562.784099153397,4203.547213013477,1422.676630719599,-3803.5679004515073,-5065.358474585916,-384.89756990713556,23671.248190582864,5210.946417443165,-20086.81192779055,-11624.848451469397,16459.026809661347,16463.412058955975,2346.5459577865313,-14951.168671706238,-5422.62282093695,12900.930490214962,6814.1941989987745,1033.0811167063284,-6231.836789281246,-2614.4751509845323,5052.151386514677,-7598.210420169178,-892.3749724685503,6876.131250183724,1634.4119121626395,-6659.275965574183,-6210.533940405562,-616.7293545401594,5806.360624950178,1315.7810671716022,-5539.572342879191,6791.937937006653,1216.4682604896207,-5905.2897598343925,-2641.067744053306,4883.709488144421,17336.23385823244,802.3488725390682,-18062.8989444195,-4960.185193155499,13394.99937082777,920.0582997764577,-645.9975536646451,-1616.602530298755,1070.6165790419554,2270.5713622650087,-23302.43033276846,-2939.291398904389,22469.696831369267,10026.212148638986,-14581.46511427415,-22516.53094433035,-3449.4100794578444,21079.56240413339,10271.697079285428,-14826.295095798136,-11258.248523449072,-3622.7638702572804,8736.190664419166,7942.318415596136,-6820.289807921779,36035.00763051842,2281.1486079033407,-36017.6974709572,-8301.382824499986,31914.3796935822,3124.686002202298,-396.8471514019407,-3640.966832617445,555.1325065032025,4212.774969258525,-41093.452017631666,-4011.90290223143,39868.95434296061,12486.928404730086,-33188.90235852334,-26561.377934556316,-2948.9656938236576,25543.34450263672,8859.406775159985,-21193.663872513844,14442.047974036155,-6.993525915174821,-15033.063969513976,-1210.157071269596,13918.637871441453,87599.68437216266,7310.713756823882,-84453.44009818557,-19018.87679271457,80286.02879407136,14452.233408755841,1437.4330154722804,-13735.875256357702,-3679.7893232282254,12522.570316353342,-78738.41892522904,-5847.7688717875,76509.98586993273,15391.913185481957,-74260.2328587966,-32126.76313015513,-1437.8666443807708,31913.2876695686,3923.6789285885243,-32718.497498834888,77564.05470270666,8545.841631798354,-73443.80605430191,-22338.827514633573,65834.45280538686,3,N,N,93
17891.206741072285,2843.1621303835223,-15840.780070394252,-5664.453586855436,15458.76319561093,11333.803364789374,1811.10380744526,-10294.758429154468,-4488.539324871908,8504.955162224082,2509.0313822146377,549.958515208099,-2750.9234033785556,-3218.7179775713785,-1012.1589410155448,8459.403508817733,1754.341091557598,-7856.80350695901,-5690.823740262253,3992.0698397123697,31960.067213988834,5386.931567350122,-28979.5721538975,-13453.163790789564,24304.78693083511,15415.563284194757,1956.7504743101163,-14421.72174258058,-4894.477053853414,12996.283847589422,6829.937129875632,858.750371870839,-6428.855486882197,-2271.9592871861264,5590.022847615877,-6116.70020680265,-704.0577092652464,5703.4021054028435,1513.9673962206944,-5676.613012815741,-5010.749454326626,-349.3542997711161,4850.947502112778,769.0190095098278,-4979.973659190444,7227.00240220024,1306.1929483814033,-6495.309449232346,-3240.4663808218033,5332.236584268343,15275.816441489187,1012.2360154686678,-15733.214453061148,-4756.9486172197885,12706.845127024277,301.95010507683355,-539.9665819047588,-839.3488934121333,990.6656815271302,1436.461155531463,-22700.609954034855,-2929.132673200399,21940.870377789135,9552.992585281736,-16265.22899714087,-25176.571235134536,-3351.595205953485,23987.763069713368,10047.923550754487,-18934.475569342736,-21345.419815578534,-3630.974150048428,19218.993839921444,8859.001642665284,-16251.908246093186,31510.714141680204,2838.525143235168,-31272.457863076124,-9565.907211706604,27606.13424475051,2403.125766166392,-251.01323061295327,-2785.7685140322824,283.8615122222534,3203.65784035407,-37552.17177845038,-4373.107356234744,36362.719778289014,13443.903520577287,-30577.29460564715,-26960.23585026791,-3074.1910537825356,26030.231351771115,9262.456562464864,-22151.31262941307,6707.809908243353,217.00107890748893,-7184.59868595797,-1591.9442708571532,6588.55119242031,76307.15116241857,8413.173461657792,-73368.52894145975,-23229.975081634213,67635.66114805196,13613.989727608066,1506.9369188536755,-13008.599220028656,-4072.807040218252,11808.18718131608,-66810.10249771,-7032.464279673116,64583.82587933138,19612.829197660547,-60435.29541296596,-26571.481221666632,-1856.6986470789952,26253.222152400973,5260.057261094791,-26275.803743777884,73774.15996509293,9629.793822708083,-69990.80123061415,-26577.23433421716,61305.57769416434,0,N,N,26
20991.2744917416,3898.2145825782354,-17588.74223050496,-6374.639809764821,18642.781402795375,12749.730083421528,2363.9812544418646,-11216.552269870559,-5566.924823144965,8865.796563513954,1203.776471156399,358.1168499349336,-2086.007570032619,-4431.973591707304,-4502.739776126819,6606.971034769682,1607.3308306654262,-6223.589726137149,-5875.205298689623,1313.3985649463955,30622.5315333905,5758.665016202339,-26728.650273880114,-12655.129543855772,23745.65757844445,18211.827878902197,2533.8984945109523,-16663.15562783067,-5881.626848695666,14862.086826503768,7870.168072101518,1141.491632733761,-7261.280707763417,-2923.339455796215,6044.893775325808,-7745.7272493105265,-891.8973436524044,7046.690674437308,1551.4216420295384,-7240.760041439198,-6584.128012090048,-591.6699959497399,6223.423760095392,1235.7813793683808,-6202.3107596110885,7558.715521654759,1331.311876110871,-6625.798923710788,-2874.6506032183556,5781.319216213763,18287.173674998194,832.8001676312883,-19354.002348414608,-5838.054887067254,13831.499892150898,763.1267229669224,-696.7088180588157,-1529.6991773614936,1104.8680975723573,2132.673398920443,-25683.939583188272,-3116.86376322534,25131.714596499573,11298.49406300531,-16298.784640889706,-26774.69897547126,-3686.3211365505667,25449.329690842525,11316.398840034946,-18754.11199268137,-18256.747005053436,-4023.385918893623,15406.782619881418,8529.734415237761,-13960.4065702418,37727.43979770432,2596.4437634036594,-37962.84362575891,-9840.692042257439,33355.76876954409,3073.4821690797035,-470.315045966811,-3679.7129680726675,671.1884061811157,4344.318653516861,-44052.975377773684,-4568.917189707174,42959.406733419855,14678.3761539651,-35483.18507292845,-30159.790525385743,-3269.6121400521665,29191.99176799186,10041.300762747596,-24501.883009026045,11702.621272345335,97.56695124307913,-12501.348551101164,-1995.3978332368797,11000.250312270173,91886.53276152711,8643.78805788983,-88500.16401082346,-22748.489581185615,84562.86329268641,15783.891621976583,1545.6238899573316,-15086.20875816284,-3994.1138823213228,14046.437600597765,-81682.96405745595,-7213.753122916228,79141.5927710617,19180.190035940745,-76888.78502530757,-33397.922667029256,-1839.562089022623,33110.12779967945,5004.025065304377,-34098.34123565418,84329.31031894668,10034.813493630172,-79884.16066623217,-26555.971830625906,72046.16231835974,3,N,N,96
19323.696370749625,3958.663407351557,-16109.300091974079,-7355.616551916897,15449.5538015803,11553.383698119811,2374.717561253138,-9979.444301337347,-5606.3743546622745,7372.2738492921535,526.9070291583629,262.26227887382055,-1118.0977435869536,-3220.697174824379,-3943.4208761263126,4967.262668402591,1401.6707762959713,-4532.870588127436,-4978.554735632795,189.63415076188903,25802.217191217973,5368.8624178714035,-22256.492979008537,-12324.31755906845,18144.066141452127,16760.3526385141,2733.7957668142312,-15153.68386772542,-6641.668009472377,12650.329892189999,7135.011011861937,1167.9144509869031,-6500.766904483287,-3006.477513198327,5160.680382208292,-7394.583570848914,-1093.647589667934,6672.59940888717,2342.8960532117253,-6258.302140774253,-6339.288841403003,-704.3962612894255,5963.647302692384,1649.7481410733892,-5693.810448469622,6595.145908171815,1433.1764542886287,-5632.764338608573,-3312.703024376331,4262.684412021236,16584.60035127037,1345.3746254044324,-17157.508843111857,-6573.25648995851,12095.875218380637,696.3606191413853,-632.0893973425541,-1447.9538450118675,925.787942050892,2098.437609887534,-23179.66407414202,-3585.7201122878164,22066.65601716674,11792.024167706128,-13625.667940166179,-23655.00768343926,-3743.934880953136,22154.17379091323,11218.887676019134,-15509.38981425478,-14581.957803850033,-3195.0266836690944,12315.821534299472,6904.502200355683,-10682.93836255154,33198.011213742524,3484.568418497309,-32700.997770818467,-11700.000501031862,27323.566709177223,2734.3708995781,-345.0794688501597,-3271.888492819572,356.8085260604846,3846.9668115004106,-38822.89436890234,-5404.7882128589345,36958.84768010743,16324.297477079495,-28648.634091188607,-26628.61306869923,-3584.529853987588,25315.33444131866,10627.325080372611,-20127.90603379888,11068.885109568619,965.6568552162902,-11267.855466582438,-3927.1558989186715,9204.005802631644,78709.61187250153,10136.047475332702,-74321.29985850264,-26907.32258865375,66676.8539075347,13953.378435948951,1782.230070997574,-13064.362339329815,-4573.540484988688,11508.41544661717,-69605.47878679528,-8617.077927920218,66183.64300514651,23206.836807593274,-60433.31576457737,-29512.673823651283,-2591.5713471568197,28735.78820088306,7025.572468912707,-28201.53028743875,71310.85992005607,10826.042106212239,-66342.49988635707,-28966.768875026723,55945.19729434064,1,N,N,55
17698.09275501671,3489.2236556002767,-14971.346866916012,-6841.356700289965,13668.729636020482,10789.624668432667,2090.9033150801642,-9427.671451915548,-5005.0574341818,6982.212765374348,843.2406301739243,173.2346639949257,-1299.0931771474716,-2325.2351382590396,-2402.652762630122,4564.983634126521,1028.2264996363767,-4236.195652467604,-3549.430680005795,1277.3441205949753,23569.597180333236,4364.3946898063605,-20782.742679342628,-10067.882134271764,17657.83469199679,15256.844344537945,2470.7550418648952,-13804.513475703137,-6027.479225326237,11446.232114881288,6734.833800600967,1064.916915053649,-6159.980396684827,-2747.7349297420906,4922.451644699534,-6320.058190490137,-1007.9200238297303,5650.968522494231,2199.085809936357,-5135.837691783125,-5807.463069753776,-759.9425186430601,5393.120328049112,1848.1474747398613,-4856.2426523657805,5609.994156967402,1106.88232697211,-4878.749876816753,-2529.315392097137,3970.8950808976615,14571.5290819935,1299.7285234912542,-14878.852094230439,-5710.189219833049,10903.28388684228,716.5679851741995,-464.7385080305627,-1306.0145590493596,642.0675638140758,1904.0087788902065,-20393.335448809135,-3132.0873676128576,19297.817246216975,9940.420416919073,-12472.182898421575,-21616.33920545361,-3307.0605974858195,20223.422237171468,9631.936032873422,-14872.686202709705,-14690.258946829716,-2687.3437082782953,12906.589746214508,5934.576981967603,-11636.293061543713,28325.729485147822,3036.174363059128,-27832.134498294807,-10104.155256552449,23145.492811764598,2220.5156122004346,-227.9813006506572,-2644.9921436324803,122.20011643849512,3071.4954075343894,-33654.50549127317,-4587.40800877602,32042.24855668038,13791.70255092306,-24995.784111952045,-23901.66756391257,-3108.1682118586964,22790.931753152945,9177.979254988875,-18546.20373572989,7694.077524330721,839.4974616024778,-7691.544357269949,-3264.1523306177405,5453.595377223404,66961.80619594066,8532.612538595396,-63301.68742560726,-22888.79394475327,56182.88895511748,11909.274422264243,1556.58330681726,-11157.15962186384,-4079.4606936122964,9645.482283787393,-59225.960766196455,-7199.966485363368,56396.63402161705,19592.296615442407,-51023.23293837368,-25215.62783439237,-2284.8849478503635,24608.034473756867,6461.157041925582,-23712.650674142445,61214.15157817025,9010.391526427547,-56988.53920136251,-24024.17171120533,47939.7554338771,3,N,N,90
23457.88810352597,4063.2790762272457,-19937.830564131444,-6494.764836334705,21820.965848996806,14183.774775293521,2457.352325298276,-12630.460046124186,-5782.966888489069,10442.71271208312,1231.108954314892,376.18448832595755,-2214.1044699189174,-4851.729654568005,-5153.828538248448,7420.3202386315625,1758.7255864405784,-7042.773095128993,-6562.773774659888,1473.3300404699962,34596.79404125167,6260.098044723938,-30454.89493850106,-13920.223552931862,27346.009847445188,20600.801676503757,2642.4532974146277,-19077.406453488216,-6260.414081512246,17298.451269244943,8865.752488572994,1190.0687018464027,-8267.664230446202,-3082.133316220931,7086.038800118597,-8793.117022840712,-921.2362119689091,8113.204176804532,1677.3465602004972,-8311.407496463713,-7343.983169113664,-571.1522988505671,7031.814668603985,1197.0332953939123,-7174.465846151411,8713.901522066542,1500.9178227489053,-7696.223784805888,-3380.65802070422,6518.923731266963,21308.246090707762,931.1773328665097,-22516.97196074411,-6613.663317346656,16066.285230355563,1115.0985257122609,-710.6974248914994,-1927.6650292120291,1046.4280974862995,2414.1195864556025,-29221.40607987294,-3309.5745001305804,28762.15089179197,12306.415217061443,-18982.991402105305,-30135.896076868896,-3928.583009273979,28867.250606217945,12337.066091066808,-21609.614303323913,-20072.729976613387,-4320.044117177072,17087.962893855,9190.273605429491,-15965.515153073118,44118.75286115133,2963.8726339757213,-44229.64190041353,-10905.84057682927,39173.01384028772,3726.418133790961,-440.77221693046596,-4334.38470078982,562.0537293654351,4939.356140465588,-51051.00187844572,-5024.475113956215,49791.50077197852,15979.471006071733,-41797.508608802425,-34552.736916573034,-3672.0134460707786,33467.1186565729,11265.761373041514,-28267.535024094905,14324.70605298884,-16.107069566999826,-15160.695024350192,-1602.3710101177571,13904.10504614847,107324.4337023992,9569.121908604127,-103419.04378377754,-24808.259950290398,99508.98878742324,18082.375802037357,1744.2024984279278,-17283.06256077695,-4466.070577840846,16197.186871094653,-96009.03149305456,-7993.476939191434,93008.26961587786,20857.97111000801,-90843.35975603446,-39231.13486861391,-2270.363655616152,38671.154261178715,5921.1203178434625,-39596.18281877544,97976.97484242248,10678.453384032917,-93249.34363255056,-28091.47001337316,85562.4549066042,1,N,N,5
19896.042603652313,3269.1095620950146,-17417.77307526501,-6216.112553438099,17459.28064799483,12426.598359456595,2044.419825929772,-11249.307757285122,-5046.2737769572195,9302.51084486852,2156.27043275078,485.3815161455484,-2650.6559149466557,-3630.609050354382,-1916.206313695719,8048.285110852408,1694.095877616293,-7568.234050433498,-5770.592895274293,3435.0742831717653,32790.71261521582,5576.729146958714,-29543.185939914332,-13489.955617840253,25382.446301965265,17262.493756059648,2234.7210494668316,-16060.768304627109,-5548.836669349839,14198.107882094126,7645.809246387096,1010.225213937552,-7168.89061032111,-2682.238612652312,6130.584136005873,-6900.186135907568,-766.4319010179879,6373.895958354764,1567.1180924256278,-6174.119454897462,-5836.344503621702,-450.21213723433846,5600.773397704296,1008.7934945661301,-5557.123907563533,7520.890651447315,1351.6697480862001,-6688.661862943049,-3253.6219428024883,5384.678080558063,17204.511712186515,1036.174058792795,-17710.892440504907,-5226.700570222272,13409.448643274029,620.5443005490338,-541.0834911382066,-1172.5060402423585,929.6387739031055,1606.9458155057305,-24670.5917560962,-3018.12513171708,23916.580622344172,10164.779546274407,-16947.248424108788,-26775.39580481815,-3547.4918727181466,25523.60057683875,10748.66310552954,-19760.81209185408,-21288.947033299606,-3829.023731785152,19051.3523973557,9117.912036810198,-16858.25278886843,35106.51762335007,2726.4800522520277,-34767.50599172413,-9092.800470456797,30872.582201553156,2636.256228850031,-321.93087512284404,-3026.625756224257,515.729106517738,3501.3933838686785,-41652.352804745104,-4457.904571433512,40283.579106926096,13538.92645320361,-34022.4601150129,-29143.251155040547,-3315.522092271867,28034.06084318045,9842.439278717917,-23742.35471720581,9017.078326952607,-78.58340333869103,-9522.183747904695,-686.9766161750204,8951.773806940604,85274.94425013923,8087.707395193845,-82049.15085116547,-21476.253062087137,77338.76989923407,14550.233679742534,1471.228720388216,-13894.728376879417,-3839.724931123428,12839.842660192144,-75746.60936827926,-6791.871055937692,73229.46486239316,18169.195024660872,-69941.37934721119,-29864.074964120577,-1954.9433562021686,29327.66833850014,5190.923739752481,-29486.70743037388,81805.57932457983,9218.631460751803,-77897.05685236878,-24823.757253682004,70182.10243120194,0,N,N,27
18552.467637723763,3277.581013404062,-15994.597446958272,-6185.691577831732,15713.356044042437,11667.572682138072,2024.8183119345906,-10417.794684838525,-4896.357703522241,8322.343479297779,2248.204208056072,378.3289116310381,-2721.6222646576775,-3197.0395919473212,-1649.058571947343,7926.839468530638,1392.5572051300257,-7577.2936028695,-4865.3361758203955,3971.0573778640064,31536.755013185673,4855.5822525980875,-28702.062000032965,-11550.479466173892,25610.163012886776,15876.387156653493,2250.966851928434,-14619.124507307119,-5524.474346096614,12702.263172758172,7070.917825700533,1009.5797355055595,-6551.218620086976,-2629.055864901423,5440.320879016304,-6254.176565998774,-786.0274907037092,5741.46427739977,1636.140262298105,-5609.811517647753,-5257.272571089414,-479.04305850150115,4995.649496267668,1076.435677222142,-4900.852510975602,7136.555748087698,1248.8635317861604,-6391.844842805055,-2991.2807541642887,5358.843087497835,15257.180204528775,1047.0210718380192,-15798.452747197225,-5268.518027934174,11762.768040874595,277.8913626784731,-543.6349106174655,-863.162454424842,893.2858632685185,1377.5448209334431,-22702.067539342293,-2948.723839102596,21954.98754589603,9880.5738709331,-15263.200860434703,-25047.684878225147,-3203.659605169061,23926.700656186033,9711.821817283828,-18707.699603621564,-21035.839836763065,-3083.7261117480966,19141.97205829614,7040.250246390161,-17835.663441909415,30968.923283642536,2756.431753027474,-30757.210942771155,-9403.079162011905,26916.665173853253,2093.1392638934517,-392.30332270213484,-2582.8141683929857,613.7080426289947,3227.5021112424483,-37523.08455816234,-4550.244667971929,36146.0822254969,13872.753177715997,-29709.22846396608,-26879.36775010923,-3084.2709076382,25890.03726279448,9231.119003723357,-21860.976309424685,6767.373963017239,497.0713245881665,-7052.907819741129,-2383.6924297973337,5713.317967402968,75164.05345667354,8383.76554254556,-71957.36919290999,-22578.170319058412,66809.16599992846,13265.728424450026,1368.591178574412,-12690.057828997134,-3603.1907546602356,11772.465114583949,-66225.03749408913,-7308.138879920066,63597.12554877385,19858.56562488508,-59543.83884649645,-26506.979284614623,-2106.2945282666924,25960.06873466419,5753.666494467591,-25814.523372042735,73125.56013152146,9320.071000850685,-69282.30748571939,-25260.50277838143,61512.066543732624,0,N,N,28
20775.431138623495,4040.2621836397375,-17370.271445452912,-6990.168093573757,17847.84289625304,12754.518472025185,2459.932925836791,-11169.279424011458,-5833.990417276182,8652.675695736374,1190.0829174892997,361.78908746360946,-1977.373749275324,-4189.738305708952,-4280.777803152162,5445.286593953573,1531.473874133534,-5051.056501336425,-5591.444698758852,240.50764015216163,27368.059091657204,5576.520007766233,-23595.768733988014,-12359.599192952928,20404.40496224576,17821.691733160555,2680.2313732427283,-16228.142137268294,-6386.112530644026,14018.530562275753,7965.548584763954,1211.2895813688276,-7327.454236886824,-3130.869658109055,5988.839907187419,-7179.3531699652885,-930.6598233995725,6489.9511603763785,1756.0101785902734,-6445.011438330124,-6738.27707206145,-620.1427643084323,6392.933553850544,1369.7596840809895,-6293.490505822214,6256.156526671421,1350.211804434619,-5308.03174558485,-2982.0905075201185,4226.026012189864,16949.685979081863,1003.2799793763996,-17858.534313003187,-6105.253936271952,12354.846418404872,842.5836889019334,-686.6423523136319,-1615.0665087620932,1073.619431676784,2241.106675561753,-23751.633934181475,-3288.8653504074905,23011.2324877378,11540.407650608384,-14142.119807356225,-25343.40647917094,-3688.9756806763157,23992.572697384134,11276.804988748065,-17304.545756515374,-17482.48230338482,-3696.428529743452,14875.570986839146,7849.8001813534065,-13628.00899007537,33485.83214182005,2834.6668510282448,-33466.25333804559,-10133.819587612139,29058.106593026845,2618.396860563806,-507.21876411254624,-3239.953331047751,816.8387055403953,4083.376167398429,-39789.451863130096,-4935.7120434907,38356.030326363296,15331.443483207413,-30777.58166847408,-28211.057405067648,-3393.2652013340517,27119.084442169704,10220.549965052514,-22468.347947566323,9300.528842641685,468.0329988846262,-9808.050811428642,-2755.2919328140147,8128.57701942329,80337.09047588808,9065.854942845774,-76670.97337339811,-23891.683115978994,72065.70244083827,14244.47004537042,1532.9736026450553,-13553.587224198613,-3944.7931526886414,12609.837798863364,-71168.75027590939,-7790.059513069338,68266.8005924347,20761.572876187045,-65056.896809760874,-30389.651900627403,-2144.8287369240443,29942.012208164848,5808.5588311844,-30659.3543076213,73250.36750676928,10377.691874050115,-68569.76060959343,-27545.989290883306,59979.987817993475,0,N,N,67
